,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Long Term Capital Lease Obligation,79444000.0,82066000.0,83870000.0,81268000.0,96701000.0,,
Current Liabilities,613873000.0,781196000.0,683281000.0,657132000.0,629637000.0,,
Current Deferred Liabilities,31383000.0,30471000.0,200069000.0,30292000.0,26892000.0,,
Current Deferred Revenue,31383000.0,30471000.0,200069000.0,30292000.0,26892000.0,,
Current Debt And Capital Lease Obligation,16692000.0,17870000.0,19869000.0,19792000.0,22696000.0,,
Current Capital Lease Obligation,16692000.0,17870000.0,19869000.0,19792000.0,22696000.0,,
Pensionand Other Post Retirement Benefit Plans Current,,,67057000.0,,,,64036000.0
Payables And Accrued Expenses,565798000.0,732855000.0,396286000.0,607048000.0,580049000.0,,
Current Accrued Expenses,,,127954000.0,,,,96648000.0
Payables,565798000.0,732855000.0,268332000.0,607048000.0,580049000.0,,
Total Tax Payable,16627000.0,125469000.0,53930000.0,30125000.0,17844000.0,,
Income Tax Payable,16627000.0,125469000.0,41141000.0,30125000.0,17844000.0,,
Accounts Payable,549171000.0,607386000.0,214402000.0,576923000.0,562205000.0,,
Total Assets,10594962000.0,10581014000.0,10090902000.0,9672222000.0,9187347000.0,,
Total Non Current Assets,4418782000.0,4378880000.0,4336274000.0,4313068000.0,4220564000.0,,
Other Non Current Assets,52673000.0,54491000.0,57862000.0,61106000.0,65204000.0,,
Goodwill And Other Intangible Assets,580765000.0,578371000.0,580611000.0,585017000.0,577753000.0,,
Other Intangible Assets,57292000.0,59615000.0,62832000.0,66417000.0,68083000.0,,
Goodwill,523473000.0,518756000.0,517779000.0,518600000.0,509670000.0,,
Net PPE,3785344000.0,3746018000.0,3697801000.0,3666945000.0,3577607000.0,,
Accumulated Depreciation,,,-1281585000.0,-1266980000.0,-1235610000.0,-1191028000.0,-1142246000.0
Gross PPE,3785344000.0,3746018000.0,4979386000.0,4933925000.0,4813217000.0,,
Other Properties,3785344000.0,3746018000.0,99708000.0,97678000.0,114839000.0,,
Machinery Furniture Equipment,,,800954000.0,836906000.0,861248000.0,848321000.0,807554000.0
Buildings And Improvements,,,1684171000.0,1636444000.0,1576005000.0,1531047000.0,1482891000.0
Land And Improvements,,,2394553000.0,2362897000.0,2261125000.0,2174815000.0,2027639000.0
Properties,,,0.0,0.0,0.0,0.0,0.0
Current Assets,6176180000.0,6202134000.0,5754628000.0,5359154000.0,4966783000.0,,
Other Current Assets,40279000.0,39848000.0,46361000.0,54545000.0,36460000.0,,
Current Deferred Assets,129763000.0,118166000.0,116145000.0,117916000.0,142815000.0,,
Inventory,41870000.0,40408000.0,39661000.0,44508000.0,59072000.0,,
Receivables,862447000.0,760261000.0,763391000.0,757843000.0,930985000.0,,
Receivables Adjustments Allowances,,,-12945000.0,-12748000.0,-13495000.0,-13628000.0,-12533000.0
Other Receivables,,,574787000.0,582504000.0,690199000.0,610956000.0,624758000.0
Taxes Receivable,817000.0,574000.0,580000.0,,48240000.0,,0.0
Accounts Receivable,861630000.0,759687000.0,200969000.0,188087000.0,206041000.0,,
Allowance For Doubtful Accounts Receivable,-14916000.0,-14916000.0,,,,,
Gross Accounts Receivable,876546000.0,774603000.0,,,,,
Cash Cash Equivalents And Short Term Investments,5101821000.0,5243451000.0,4789070000.0,4384342000.0,3797451000.0,,
Other Short Term Investments,0.0,9861000.0,2008539000.0,2017843000.0,458542000.0,,
Cash And Cash Equivalents,5101821000.0,5233590000.0,2780531000.0,2366499000.0,3338909000.0,,
