,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Other Current Assets,621000000.0,605000000.0,520500000.0,524400000.0,480400000.0,,
Current Deferred Assets,424000000.0,415000000.0,419500000.0,387100000.0,376100000.0,,
Receivables,2788000000.0,2080000000.0,3679600000.0,2687300000.0,2250400000.0,,
Other Receivables,672000000.0,737000000.0,714600000.0,737300000.0,754900000.0,,
Accounts Receivable,2116000000.0,1343000000.0,2965000000.0,1950000000.0,1495500000.0,,
Allowance For Doubtful Accounts Receivable,-13000000.0,-14000000.0,-9700000.0,-10600000.0,-8500000.0,,
Gross Accounts Receivable,2129000000.0,1357000000.0,2974700000.0,1960600000.0,1504000000.0,,
Cash Cash Equivalents And Short Term Investments,4536000000.0,4210000000.0,2903200000.0,3300200000.0,3232900000.0,,
Other Short Term Investments,378000000.0,1144000000.0,634600000.0,916800000.0,1006600000.0,,
Cash And Cash Equivalents,4158000000.0,3066000000.0,2268600000.0,2383400000.0,2226300000.0,,
Cash Equivalents,,,,,,,494000000.0
Cash Financial,,,,,,,1041200000.0
